,Unnamed: 0,Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language,Agency,Categories,Health,Housing,Food,Arts,Construction,Economic,Education,Environment,Essential Services,Equality,Events,Historical,Human Services,Mental Health,Occupational,Recreation,Rehabilitation,Religious,Transport,Technology,Youth Programs,Accessibility,Maintenance,Research,amdt_match,Amendment No.,Title,Sponsor,Subject,Consolidated Amendment,Status
10,25,Amesbury Chamber of Commerce,Amesbury,20000,SEA - Department Of Business And Technology,nhat.le@mass.gov,70022023,"provided further, that not less than $20,000 shall be expended to the Amesbury Chamber of Commerce to support small businesses",SEA,"Economic, Transport",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Amesbury Chamber of Commerce,497-R1,Amesbury Chamber of Commerce,"DiZoglio, Diana (SEN)",Local,Yes Bundle 3,Adopted
11,27,Amesbury Outdoor Seating,Amesbury,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70022023,"provided further, that not less than $50,000 shall be expended toward consulting services to design permanent outdoor dining facilities in the central business district in the city of Amesbury",HED,"Research, Economic, Transport, Historical",False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,Amesbury Outdoor Seating,513-R1,Amesbury Outdoor Seating,"DiZoglio, Diana (SEN)",Local,Yes Bundle 3,Adopted
12,28,Amherst Area Homeless Prevention,Amherst,25000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $25,000 shall be expended for Craig's Doors-A Home Association, Inc. to support emergency, non-congregate shelter and meet re-housing needs for people experiencing homelessness in the Amherst-Northampton area",DHC,"Housing, Health",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Amherst Area Homeless Prevention,561,Amherst Area Homeless Prevention,"Comerford, Joanne M. (SEN)",Local,Yes Bundle 3,Adopted
13,30,Amplify POC of Cape Cod,Barnstable,60000,SEA - Department Of Business And Technology,nhat.le@mass.gov,70022023,"provided further, that not less than $60,000 shall be expended for Amplify POC Cape Cod Inc. for technical assistance for the promotion of minority-owned small businesses on Cape Cod",SEA,"Economic, Transport, Technology, Equality",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,Amplify POC of Cape Cod,197-R1,Amplify POC of Cape Cod,"Cyr, Julian (SEN)",Economic Development,Yes Bundle 3,Adopted
14,30,Amplify POC of Cape Cod,Barnstable,60000,SEA - Department Of Business And Technology,nhat.le@mass.gov,70022023,"provided further, that not less than $60,000 shall be expended for Amplify POC Cape Cod Inc. for technical assistance for the promotion of minority-owned small businesses on Cape Cod",SEA,"Economic, Transport, Technology, Equality",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,Amplify POC of Cape Cod,19,Amplify POC of Cape Cod,"Diggs, Kip A. (HOU)",Economic Development,D,Consolidated
15,31,Amplify POC of Cape Cod,Barnstable,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for additional programming and staffing for Amplify POC of Cape Cod",HED,"Equality, Economic",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Amplify POC of Cape Cod,197-R1,Amplify POC of Cape Cod,"Cyr, Julian (SEN)",Economic Development,Yes Bundle 3,Adopted
16,31,Amplify POC of Cape Cod,Barnstable,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for additional programming and staffing for Amplify POC of Cape Cod",HED,"Equality, Economic",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Amplify POC of Cape Cod,19,Amplify POC of Cape Cod,"Diggs, Kip A. (HOU)",Economic Development,D,Consolidated
17,34,Arlington Housing Domestic Violence Initiative,Arlington,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for the Arlington housing authority for the Arlington housing domestic violence initiative",DHC,"Housing, Human Services",False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Arlington Housing Domestic Violence Initiative,628,Arlington Housing Domestic Violence Initiative,"Garballey, Sean (HOU)",Housing,A,Consolidated
18,39,ArtSpace Maynard,Maynard,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $50,000 shall be made available for the town of Maynard for the benefit of ArtSpace Maynard",MMP,Arts,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ArtSpace Maynard,74,ArtSpace Maynard,"Eldridge, James B. (SEN)",Economic Development,Yes Bundle 1,Adopted
19,43,Auburn Youth and Family Services,Auburn,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $50,000 shall be expended to Auburn Youth & Family Services for upgrades and improvements of the Auburn Youth & Family Services’ building in the town of Auburn",EHS,"Youth Programs, Human Services, Maintenance, Construction",False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,Auburn Youth and Family Services,530,Auburn Youth and Family Services,"Frost, Paul K. (HOU)",Health and Human Services,B,Consolidated
20,45,Avon Trout Brook Well Replacement,Avon,250000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $250,000 shall be expended for replacement of the Trout brook well in the town of Avon",DEP,Maintenance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Avon Trout Brook Well Replacement,83,Avon Trout Brook Well Replacement,"Galvin, William C. (HOU)",Infrastructure,C,Consolidated
21,46,Avon Water Treatment Plant,Avon,100000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $100,000 shall be expended for upgrades to the water treatment plant in the town of Avon",DEP,"Maintenance, Research, Environment",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Avon Water Treatment Plant,715-R1,Avon Water Treatment Plant,"Timilty, Walter F. (SEN)",Local,Yes Bundle 3,Adopted
22,47,Barnstable Sewer Expansion,Barnstable,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for an expansion of the sewer system in Barnstable",HED,Environment,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Barnstable Sewer Expansion,1103,Barnstable Sewer Expansion,"Jones, Jr., Bradley H. (HOU)",Economic Development,D,Consolidated
23,48,Barnstable Youth Commission,Barnstable,60000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided, that not less than $60,000 shall be expended for the Barnstable Youth Commission",EHS,Youth Programs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Barnstable Youth Commission,18,Barnstable Youth Commission,"Diggs, Kip A. (HOU)",Health and Human Services,B,Consolidated
24,49,Barre Senior Center,Barre,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further that not less than $75,000 shall be expended for senior center improvements in the town of Barre",EHS,"Human Services, Maintenance",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,Barre Senior Center,586-R1,Barre Senior Center,"Gobi, Anne M. (SEN)",Local,Yes Bundle 3,Adopted
25,57,Belchertown Economic Development,Belchertown,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to improve business engagement, branding and wayfinding in Belchertown",MMP,"Economic, Transport, Human Services",False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,Belchertown Economic Development,329,Belchertown Economic Development,"Oliveira, Jacob R. (HOU)",Economic Development,D,Consolidated
26,61,Bennett School HVAC Units,Leominster,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided, that not less than $100,000 shall be expended for the Leominster public schools to upgrade the 2 heating, ventilation and air conditioning systems at Bennett elementary schools",DES,"Education, Maintenance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Bennett School HVAC Units,45,Bennett School HVAC Units,"Higgins, Natalie M. (HOU)",Education,B,Consolidated
27,63,"Berkshire County Diversity, Equity & Inclusion Technical Assistance",Pittsfield,100000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for 1Berkshire to bolster technical assistance and support for initiatives that advance diversity and regional equity",SEA,"Technology, Equality",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"Berkshire County Diversity, Equity & Inclusion Technical Assistance",715,"Berkshire County Diversity, Equity & Inclusion Technical Assistance","Mark, Paul W. (HOU)",Economic Development,D,Consolidated
28,64,Berkshire County Housing Crisis Support,Pittsfield,150000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $150,000 shall be expended for the Berkshire regional planning commission, Berkshire Housing Development Corporation and 1Berkshire Strategic Alliance Inc. for the purpose of advancing housing development in Berkshire county",DHC,"Housing, Research",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Berkshire County Housing Crisis Support,639,Berkshire County Housing Crisis Support,"Mark, Paul W. (HOU)",Housing,A,Consolidated
29,66,Berkshire County Permanent Supportive Housing Facility,Pittsfield,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to Berkshire County Development Corporation to design and develop permanent housing solutions for people experiencing long-term homelessness",DHC,"Housing, Research",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Berkshire County Permanent Supportive Housing Facility,346,Berkshire County Permanent Supportive Housing Facility,"Farley-Bouvier, Tricia (HOU)",Housing,A,Consolidated
30,67,Berkshire Housing Development Corporation-Fenn Street Shelter,Pittsfield,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to the Berkshire Housing Development Corporation for the final renovation costs for the Fenn Street Homeless Shelter to reduce overcrowding and improve safety of unhoused individuals",DHC,"Housing, Recreation, Maintenance",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,Berkshire Housing Development Corporation-Fenn Street Shelter,486,Berkshire Housing Development Corporation-Fenn Street Shelter,"Mark, Paul W. (HOU)",Housing,A,Consolidated
31,69,Beverly Bootstraps Food Pantry,Beverly,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended for Beverly Bootstraps Community Services, Inc. food pantry in city of Beverly to support its social service programs, including, but not limited to, food distribution, English as a second language programming, heating and housing assistance",MDA,"Housing, Food, Human Services",False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Beverly Bootstraps Food Pantry,184,Beverly Bootstraps Food Pantry,"Parisella, Jerald A. (HOU)",Food Security,A,Consolidated
32,70,Beverly Main Streets,Beverly,10000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $10,000 shall be expended for Beverly Main Streets, Inc. to support its programs to promote business and economic development in Beverly",SEA,"Transport, Economic, Recreation",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,Beverly Main Streets,193,Beverly Main Streets,"Parisella, Jerald A. (HOU)",Economic Development,D,Consolidated
33,73,Billerica Historical Society,Billerica,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the Billerica Historical Society for capital improvements for historic sites in the city of Billerica",MMP,"Maintenance, Historical",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Billerica Historical Society,6,Billerica Historical Society,"Lombardo, Marc T. (HOU)",Economic Development,D,Consolidated
34,77,Blackstone Affordable Housing Improvements,Blackstone,75000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $75,000 shall be expended to the Blackstone housing authority for updates to apartments with handicap accessibility entrances and walkways",DHC,"Housing, Maintenance, Recreation, Equality, Accessibility",False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,Blackstone Affordable Housing Improvements,268,Blackstone Affordable Housing Improvements,"Soter, Michael J. (HOU)",Housing,A,Consolidated
35,79,Blueprint Easthampton,Easthampton,25000,SEA - Department Of Business And Technology,nhat.le@mass.gov,70022023,"provided further, that not less than $25,000 shall be expended to the city of Easthampton for the Blueprint Easthampton initiative to support small businesses and entrepreneurs",SEA,"Economic, Transport",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Blueprint Easthampton,697,Blueprint Easthampton,"Velis, John C. (SEN)",Local,Yes Bundle 3,Adopted
36,91,Bourne Fire Station Boiler Replacement,Bourne,40000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992058,"provided further, that not less than $40,000 shall be made available for the town of Bourne for of the boiler replacement at the Main street fire station",DFS,"Essential Services, Maintenance",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Bourne Fire Station Boiler Replacement,478,Bourne Fire Station Boiler Replacement,"Moran, Susan L. (SEN)",Public Safety,Yes Bundle 2,Adopted
37,92,Bourne Generator Replacement,Bourne,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $100,000 shall be made available for the town of Bourne for generator replacement",ANF,"Essential Services, Maintenance",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Bourne Generator Replacement,355,Bourne Generator Replacement,"Moran, Susan L. (SEN)",Environment,Yes Bundle 2,Adopted
38,97,Bridge Road Water Main Replacement,Salisbury,75000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $75,000 shall be expended for a water main replacement on Bridge road in the town of Salisbury",DEP,"Maintenance, Environment",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Bridge Road Water Main Replacement,342,Bridge Road Water Main Replacement,"Kelcourse, James M. (HOU)",Infrastructure,C,Consolidated
39,102,Brookline Center for Community Mental Health,Brookline,500000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further that $500,000 shall be expended to the Brookline Center for Community Mental Health to increase staffing and provide access to technology applications that deliver mental health services to individuals affected by the 2019 novel coronavirus pandemic",DMH,"Technology, Health",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Brookline Center for Community Mental Health,289-R1,Brookline Center for Community Mental Health,"Creem, Cynthia Stone (SEN)",Health and Human Services,Yes Bundle 3,Adopted
40,104,Brookline GreenSpace Alliance Neighborhood Initiatives for Parks,Brookline,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $50,000 shall be expended to the Brookline GreenSpace Alliance neighborhood initiatives for parks grant program",DCR,Recreation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Brookline GreenSpace Alliance Neighborhood Initiatives for Parks,627,Brookline GreenSpace Alliance Neighborhood Initiatives for Parks,"Vitolo, Tommy (HOU)",Environment/Climate,C,Consolidated
41,105,Brookline Senior Center COVID-19 Recovery,Brookline,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be expended to the Brookline Senior Center to respond to novel coronavirus 2019 related transportation, IT, food insecurity, and social work needs",EHS,"Food, Human Services, Recreation, Transport, Occupational, Health",True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,Brookline Senior Center COVID-19 Recovery,578,Brookline Senior Center COVID-19 Recovery,"Vitolo, Tommy (HOU)",Health and Human Services,B,Consolidated
42,106,Brookline Teen Center Capital Improvements,Brookline,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,70100015,"provided further, that not less than $100,000 shall be expended for the Brookline teen center for programming space expansions and ventilation, heating and cooling improvements",ANF,"Youth Programs, Maintenance",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Brookline Teen Center Capital Improvements,589,Brookline Teen Center Capital Improvements,"Vitolo, Tommy (HOU)",Education,B,Consolidated
43,107,Brooks Field Improvements,Milton,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided, that not less than $50,000 shall be expended for renovations and improvements to Brooks field in the town of Milton",DCR,"Recreation, Maintenance",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,Brooks Field Improvements,610-R1,Brooks Field Improvements,"Timilty, Walter F. (SEN)",Local,Yes Bundle 3,Adopted
44,110,Burlington and Woburn Local Primary Care Pilot,Burlington,300000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $300,000 shall be expended to the public school systems in the town of Burlington and the city of Woburn to develop a pilot program, in partnership with local primary care practices, to deliver primary care health services to low-income children enrolled in public schools in the town of Burlington and the city of Woburn; provided further, that such pilot program shall include the delivery of primary care services while a child is in school; provided further, that the public school systems in the town of Burlington and the city of Woburn shall provide an annual report to the department of elementary and secondary education, the house and senate committees on ways and means and the joint committee on health care financing that details the status of the pilot program which shall include, but not be limited to: (i) the amount of money spent; (ii) the number of children served; (iii) the types of services provided; (iv) the barriers for children to receive such services; and (v) any recommendations for sustaining such a program beyond the pilot program time period",DES,"Youth Programs, Education, Health",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Burlington and Woburn Local Primary Care Pilot,671-R1,Burlington and Woburn Local Primary Care Pilot,"Friedman, Cindy F. (SEN)",Local,Yes Bundle 3,Adopted
45,111,Burlington Fire Headquarters Air Quality Improvements,Burlington,100000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992058,"provided, that not less than $100,000 shall be expended for air quality improvements to the fire department headquarters in the town of Burlington",DFS,"Essential Services, Maintenance",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Burlington Fire Headquarters Air Quality Improvements,658-R1,Burlington Fire Headquarters Air Quality Improvements,"Friedman, Cindy F. (SEN)",Local,Yes Bundle 3,Adopted
46,119,Camp Grossman,Newton,41000,DCF - Department Of Children And Families,emily.hajjar@mass.gov,70100013,"provided further, that $41,000 shall be expended to JCC Greater Boston for capital improvements at Camp Grossman",DCF,Maintenance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Camp Grossman,678,Camp Grossman,"Creem, Cynthia Stone (SEN)",Local,Yes Bundle 3,Adopted
47,123,Canton PFAS Remediation,Canton,125000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided, that not less than $125,000 shall be expended for a per- and polyfluoroalkyl substances water treatment system for the town of Canton",DEP,"Arts, Environment, Rehabilitation",False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Canton PFAS Remediation,576-R1,Canton PFAS Remediation,"Timilty, Walter F. (SEN)",Local,Yes Bundle 3,Adopted
48,127,Cape Verdean Association of Brockton,Brockton,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for staffing at the Cape Verdean Association of Brockton",HED,Human Services,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Cape Verdean Association of Brockton,387,Cape Verdean Association of Brockton,"DuBois, Michelle M. (HOU)",Economic Development,D,Consolidated
49,128,Cape Verdean Cultural Center in the City of Boston,Boston,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for establishing a Cape Verdean Cultural Center in the city of Boston, including, but not limited to, the creation of a nonprofit organization to oversee the construction and management of the cultural center",HED,"Arts, Construction, Human Services",False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Cape Verdean Cultural Center in the City of Boston,257,Cape Verdean Cultural Center in the City of Boston,"Miranda, Liz (HOU)",Economic Development,D,Consolidated
50,130,Caribbean Integration Community Development,Boston,50000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $50,000 shall be expended to Caribbean Integration Community Development, Inc.",ANF,Equality,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Caribbean Integration Community Development,329-R3,Caribbean Integration Community Development,"Collins, Nick (SEN)",Health and Human Services,Yes Bundle 2,Adopted
51,143,Charlestown Working Theatre,Boston,200000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $200,000 shall be expended for capital improvements and ventilation upgrades to the Charlestown Working Theater, Inc. in the Charlestown section of Boston",MMP,"Arts, Occupational, Maintenance",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Charlestown Working Theatre,383,Charlestown Working Theatre,"Ryan, Daniel J. (HOU)",Economic Development,D,Consolidated
52,144,Charlton Paperless Document Management System,Charlton,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to implement a paperless document management system in Charlton",HED,"Human Services, Technology",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,Charlton Paperless Document Management System,671,Charlton Paperless Document Management System,"Frost, Paul K. (HOU)",Economic Development,D,Consolidated
53,145,Chelmsford PFAS Remediation,Chelmsford,350000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $350,000 shall be expended for the North Chelmsford Water District for perfluoroalkyl and polyfluoroalkyl substances remediation",DEP,"Arts, Environment, Rehabilitation",False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Chelmsford PFAS Remediation,607,Chelmsford PFAS Remediation,"Barrett, Michael J. (SEN)",Local,Yes Bundle 3,Adopted
