Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language
Affordable Housing in Arlington,Arlington,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to the town of Arlington for the acquisition of affordable housing units"
Affordable Housing in Lexington,Lexington,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to the town of Lexington for a feasibility and initial design study for the construction of affordable housing units in the town center"
Agawam Infrastructure Improvements,Agawam,150000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $150,000 shall be expended for infrastructure improvements in the city known as the town of Agawam"
Agawam Senior Center Transportation,Agawam,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less $75,000 shall be expended to the Agawam council on aging for transportation at the Agawam senior center"
Agawam Veterans Council,Agawam,15000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $15,000 shall be expended to the Agawam Veterans Council to offset costs due to the 2019 novel coronavirus"
Age-Friendly and Dementia-Friendly Community Efforts in Hopkinton,Hopkinton,30000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $30,000 shall be expended to the town of Hopkinton for costs related to the town’s efforts to be recognized as an age-friendly and dementia-friendly community"
"AHA! Art, History & Architecture",New Bedford,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for AHA! Art, History & Architecture in New Bedford"
Albion Cultural Exchange Accessibility Upgrades,Wakefield,70000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $70,000 shall be expended to the town of Wakefield for accessibility upgrades at the Albion Cultural Exchange"
Alliance for Inclusion and Prevention Mental Health Care,Boston,200000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $200,000 shall be expended for the Alliance for Inclusion and Prevention to expand children’s access to pandemic-related mental and emotional health services in K-12 schools in Boston, gateway cities and districts across Massachusetts"
"Alliance of Massachusetts YMCAs, Inc.",Statewide,10000000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992047,"provided further, that the department shall award not less than $10,000,000 to the Alliance of Massachusetts YMCAs, Inc., which shall be distributed among the alliance’s member organizations based on criteria developed by the Alliance of Massachusetts YMCAs, Inc."
"Allston Village Main Streets, Inc. Food Distribution Program",Boston,25000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $25,000 shall be expended for the Allston Village Main Streets, Inc. food insecurity and distribution program to provide relief for residents impacted by the 2019 novel coronavirus"
Allston-Brighton CDC Job Training Partnership Program,Boston,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to the Allston-Brighton CDC for a job training partnership program for residents impacted by job loss due to the COVID-19 pandemic"
American Legion Post,Saugus,20000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $20,000 shall be expended for a new commercial stove and oven for the American Legion Post 210 in Saugus"
American Legion Post 124,Westfield,20000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $20,000 shall be expended to the American Legion Post 124 in the city of Westfield to offset costs due to 2019 novel coronavirus pandemic"
Amesbury Chamber of Commerce,Amesbury,20000,SEA - Department Of Business And Technology,nhat.le@mass.gov,70022023,"provided further, that not less than $20,000 shall be expended to the Amesbury Chamber of Commerce to support small businesses"
Amesbury Lake Gardner Recreational Improvements,Amesbury,25000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $25,000 shall be expended toward recreational improvements, including the installation of kayak racks and amenities, at Lake Gardner in the city of Amesbury"
Amesbury Outdoor Seating,Amesbury,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70022023,"provided further, that not less than $50,000 shall be expended toward consulting services to design permanent outdoor dining facilities in the central business district in the city of Amesbury"
Amherst Area Homeless Prevention,Amherst,25000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $25,000 shall be expended for Craig's Doors-A Home Association, Inc. to support emergency, non-congregate shelter and meet re-housing needs for people experiencing homelessness in the Amherst-Northampton area"
Amherst Public Schools Mental Health Services,Amherst,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended for Amherst regional public schools for mental health services for students"
Amplify POC of Cape Cod,Cape Cod,60000,SEA - Department Of Business And Technology,nhat.le@mass.gov,70022023,"provided further, that not less than $60,000 shall be expended for Amplify POC Cape Cod Inc. for technical assistance for the promotion of minority-owned small businesses on Cape Cod"
Amplify POC of Cape Cod,Cape Cod,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for additional programming and staffing for Amplify POC of Cape Cod"
Andover/North Andover Public Health Needs Study,North Andover,160000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $160,000 shall be expended to the town of North Andover and Andover for a joint public health Community Health Needs Assessment (CHNA) and Community Health Improvement Plan (CHIP), which will look to address and implement long term solutions to several areas of public health, including, but not limited to, behavioral health, affordable housing, and food insecurity"
Animal Control Facility Infrastructure,Raynham,50000,EPS - Executive Office Of Public Safety & Homeland Security,Brian.Merrick@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for the infrastructure of the local animal control facility in the town of Raynham"
Arlington Housing Domestic Violence Initiative,Arlington,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for the Arlington housing authority for the Arlington housing domestic violence initiative"
Arlington Playground Replacement Initiative,Arlington,250000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $250,000 shall be expended for the town of Arlington for construction, upgrades and improvements to its parks and recreational facilities"
Arnold Arboretum Entrance Design Project,Boston,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $100,000 shall be expended for the Arnold Arboretum for the entrance design project"
Arthur Kenney Field in North Reading,North Reading,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,70100013,"provided further, than not less than $100,000 shall be expended for the replacement of the turf field carpet at the Arthur Kenney field in the town of North Reading"
Arts Foundation of Cape Cod,Cape Cod,400000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $400,000 shall be expended for the Arts Foundation of Cape Cod for a 3-year arts and culture capacity-building grant program to award mini-grants to artists for professional development, training and education for the purpose of promoting regional arts and artists and developing a robust support network of skills training and other support services to draw, support and promote the arts and artists on Cape Cod"
ArtSpace Maynard,Maynard,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $50,000 shall be made available for the town of Maynard for the benefit of ArtSpace Maynard"
Assabet Riverwalk Project and Riverbank Stabilization,Hudson,400000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $400,000 shall be expended for the town of Hudson for the completion of the Assabet riverwalk project and riverbank stabilization"
Assawompset Pond Complex,Lakeville,250000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $250,000 shall be expended to the Southeastern Regional Planning and Economic Development District for management of the Assawompsett pond complex including, but not be limited to, the management and eradication of invasive weeds in Long pond and other flood management efforts"
At-Risk Youth Workforce Development in Boston,Boston,25000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $25,000 shall be expended for All Dorchester Sports League for job training, core skills development, after school programming, youth activities and other relevant activities"
Auburn Youth and Family Services,Auburn,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $50,000 shall be expended to Auburn Youth & Family Services for upgrades and improvements of the Auburn Youth & Family Services’ building in the town of Auburn"
"Avon Baptist Church Food Pantry, Inc.",Avon,5000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $80,000 shall be expended equally to the following food pantries for distribution of food resources: (a) Avon Baptist Church food pantry"
Avon Trout Brook Well Replacement,Avon,250000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $250,000 shall be expended for replacement of the Trout brook well in the town of Avon"
Avon Water Treatment Plant,Avon,100000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $100,000 shall be expended for upgrades to the water treatment plant in the town of Avon"
Barnstable Sewer Expansion,Barnstable,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for an expansion of the sewer system in Barnstable"
Barnstable Youth Commission,Barnstable,60000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided, that not less than $60,000 shall be expended for the Barnstable Youth Commission"
Barre Senior Center,Barre,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further that not less than $75,000 shall be expended for senior center improvements in the town of Barre"
Basketball Hall of Fame,Springfield,300000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $300,000 shall be expended for the Basketball Hall of Fame"
Bathroom Renovation in Flint Memorial Library,North Reading,40000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that $40,000 shall be expended for renovations to the bathrooms in the Flint memorial library in the town of North Reading"
Battleship Cove,Boston,1000000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $1,000,000 shall be expended to the USS Massachusetts Memorial Committee, Incorporated for the maintenance and care of historic naval vessels"
Bay Farm Conservation Area Disability Access Improvements,Duxbury,40000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $40,000 shall be expended to the town of Duxbury for disability access improvements at the Bay Farm conservation area"
Beacon Communities Housing Play Space,Springfield,75000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $75,000 shall be expended for Beacon Communities Housing in Springfield to develop a healthy play space"
Bedding for Afghan Families,Hudson,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be expended to the Fresh Start Furniture Bank in Hudson for the purchase of bedding and other furniture to be used for the placement of Afghan families and refugees in the Commonwealth"
Bedford Area Chamber of Commerce,Bedford,75000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $75,000 shall be expended to the Bedford Area Chamber of Commerce, Inc. to support programming and membership for local businesses"
Belchertown Economic Development,Belchertown,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to improve business engagement, branding and wayfinding in Belchertown"
Belmont New Library,Belmont,250000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less than $250,000 be expended to the town of Belmont for design, development and construction of a new library"
Belmont Public Realm Improvements,Belmont,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided, that not less than $100,000 be expended to the town of Belmont for public realm improvements to be spent under the direction of the Belmont Economic Development Committee"
Belmont Skating Rink,Belmont,250000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less than $250,000 be expended to the town of Belmont for planning, conducting a feasibility study and designing a new skating rink"
Bennett School HVAC Units,Leominster,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided, that not less than $100,000 shall be expended for the Leominster public schools to upgrade the 2 heating, ventilation and air conditioning systems at Bennett elementary schools"
Berkshire Community Action Council Holistic Approach to Reducing Poverty,Berkshire County,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be allocated Berkshire Community Action Council for the Holistic Approach to Reducing Poverty (HARP) partnership"
"Berkshire County Diversity, Equity & Inclusion Technical Assistance",Berkshire County,100000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for 1Berkshire to bolster technical assistance and support for initiatives that advance diversity and regional equity"
Berkshire County Housing Crisis Support,Berkshire County,150000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $150,000 shall be expended for the Berkshire regional planning commission, Berkshire Housing Development Corporation and 1Berkshire Strategic Alliance Inc. for the purpose of advancing housing development in Berkshire county"
Berkshire County Outdoor Recreation Website,Berkshire County,200000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $200,000 shall be provided to the Berkshire Regional Planning Commission and 1Berkshire for the establishment of an outdoor recreation website for the county of Berkshire and adjoining regions"
Berkshire County Permanent Supportive Housing Facility,Berkshire County,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to Berkshire County Development Corporation to design and develop permanent housing solutions for people experiencing long-term homelessness"
Berkshire Housing Development Corporation-Fenn Street Shelter,Berkshire County,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to the Berkshire Housing Development Corporation for the final renovation costs for the Fenn Street Homeless Shelter to reduce overcrowding and improve safety of unhoused individuals"
Bernardston Recovery and Renovation Expenese,Bernardston,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $100,000 shall be expended for the town of Bernardston for recovery from the COVID-19 pandemic and renovations to municipal buildings"
Beverly Bootstraps Food Pantry,Beverly,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended for Beverly Bootstraps Community Services, Inc. food pantry in city of Beverly to support its social service programs, including, but not limited to, food distribution, English as a second language programming, heating and housing assistance"
Beverly Main Streets,Beverly,10000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $10,000 shall be expended for Beverly Main Streets, Inc. to support its programs to promote business and economic development in Beverly"
Beyond Soccer in Lawrence,Lawrence,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $50,000 shall be expended for Beyond Soccer, Inc. to support the recreational, social and health benefits that the program offers to low-income youth in the city of Lawrence"
Big Brothers Big Sisters of Eastern Massachusetts,Boston,2000000,LWD - Executive Office Of Labor And Workforce Development,sheila.l.tunney2@mass.gov,70100013,"provided further, that not less than $2,000,000 shall be expended for the Big Brothers Big Sisters of Eastern Massachusetts for funding related to youth mentorship programming in underserved cities to combat the negative effects of the 2019 novel coronavirus pandemic on youth in the commonwealth"
Billerica Historical Society,Billerica,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the Billerica Historical Society for capital improvements for historic sites in the city of Billerica"
Billerica Historical Society & Town Hall,Billerica,110000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $110,000 shall be expended to the town of Billerica for historic preservation enhancements for the Howe School renovation project"
Billerica Historical Society & Town Hall,Billerica,90000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less than $90,000 shall be expended to the town of Billerica for the renovation of the town hall auditorium"
Black Boston Hospitality Coalition,Boston,350000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $350,000 shall be expended to the New England Civil Rights Fund for the Black Boston Hospitality Coalition for infrastructure support to minority owned businesses"
Blackstone Affordable Housing Improvements,Blackstone,75000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $75,000 shall be expended to the Blackstone housing authority for updates to apartments with handicap accessibility entrances and walkways"
Blackstone Valley Regional Vocational Technical High School,Millbury,25000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $25,000 shall be expended to the Blackstone Valley Regional Vocational Technical High School for the purchase of a utility vehicle to support facility and field maintenance"
Blueprint Easthampton,Easthampton,25000,SEA - Department Of Business And Technology,nhat.le@mass.gov,70022023,"provided further, that not less than $25,000 shall be expended to the city of Easthampton for the Blueprint Easthampton initiative to support small businesses and entrepreneurs"
Boat Launch Dredging and Improvement,Weymouth,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for the dredging and improvements of the public boat ramp located in the city of Weymouth"
Boch Center,Boston,300000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $300,000 shall be expended for the Boch Center for capital improvements needed to safely reopen the Wang and Shubert theatres located in Boston"
Boston Area Research Initiative at Northeastern University,Boston,250000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $250,000 shall be expended for the Boston Area Research Initiative at Northeastern University"
Boston Asian Youth Essential Service,Boston,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended to Boston Asian: Youth Essential Service, Inc."
"Boston Black News, Inc",Boston,50000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $50,000 shall be expended to Boston Black News Inc for public information access, including culturally competent public health and service announcements for communities disproportionately impacted by the 2019 novel coronavirus"
Boston Centers for Youth & Families Roche Family Community Center,Boston,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $50,000 shall be expended to Boston Centers for Youth & Families Roche Family Community Center in the West Roxbury section of the city of Boston for youth, teen and adult programs"
Boston Chinatown Neighborhood Center,Boston,100000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $100,000 shall be expended to the Boston Chinatown Neighborhood Center, Inc. to provide bilingual and culturally informed mental health services by hiring social workers and community health workers"
Boston Home Rehabilitation Facility in Dorchester,Boston,250000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $250,000 shall be expended for the Boston Home, Inc. rehabilitation facility in the Dorchester section of the city of Boston for upgrades related to the 2019 novel coronavirus pandemic and the high acute care population suffering from advanced Multiple Sclerosis and other progressive neurological disorders"
Boston Little Saigon,Boston,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70022023,"provided further, that not less than $50,000 shall be expended to Boston Little Saigon, Inc. for business supports and marketing in the Vietnamese cultural district in the city of Boston"
Boston Public Market Association,Boston,250000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $250,000 shall be expended to the Boston Public Market Association, Inc. for the continued operations of the Boston Public Market for the recovery from serious adverse effects and losses due to the 2019 novel coronavirus pandemic"
Boston Teacher Residency Program,Boston,200000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $200,000 shall be expended to Boston Plan for Excellence to support a diverse teaching workforce through the Boston Teacher Residency program and to advance the mission that all graduates earn a family-sustaining wage 6 years after high school"
Bourne Fire Station Boiler Replacement,Bourne,40000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992058,"provided further, that not less than $40,000 shall be made available for the town of Bourne for of the boiler replacement at the Main street fire station"
Bourne Generator Replacement,Bourne,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $100,000 shall be made available for the town of Bourne for generator replacement"
"Braintree Community Food Pantry, Inc.",Braintree,5000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"(b) Braintree Community Food Pantry, Inc."
"Braintree Holidays-Friends Food Pantry, Inc.",Braintree,5000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"(j) Braintree Holidays-Friends, Inc. pantry"
Braintree Housing Authority Upgrades,Braintree,85000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $85,000 shall be made available for the town of Braintree Housing Authority to make improvements including, but not limited to, plumbing, kitchen and bath upgrades"
"Bread of Life, Inc.",Malden,250000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $250,000 shall be expended to Bread of Life, Inc. in the city of Malden to expand services addressing food security and homelessness"
Bridge Road Water Main Replacement,Salisbury,75000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $75,000 shall be expended for a water main replacement on Bridge road in the town of Salisbury"
Brightwood Development Corporation,Springfield,50000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $50,000 shall be expended for the Brightwood Development Corporation for purpose of funding pre-development and preliminary design costs for senior housing at the former Brightwood elementary school"
Broad Meadow Brook Wetland Restoration and Flood Mitigation,Worcester,500000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $500,000 shall be expended for Mass Audubon to perform wetland restoration and flood mitigation work at the Broad Meadow Brook property located in the city of Worcester"
Broadband Infrastructure Upgrades,Marlborough,200000,DOR - Department Of Revenue,krzywickil@dor.state.ma.us,15992032,"provided further, that not less than $200,000 shall be expended for an upgrade to the infrastructure necessary for broadband access in the town of Marlborough"
"Brockton Neighborhood Health Center, Inc",Brockton,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $75,000 shall be expended for the expansion and renovation of clinical space for substance use services at the Brockton Neighborhood Health Center, Inc. in the city of Brockton"
Brookline Center for Community Mental Health,Brookline,500000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further that $500,000 shall be expended to the Brookline Center for Community Mental Health to increase staffing and provide access to technology applications that deliver mental health services to individuals affected by the 2019 novel coronavirus pandemic"
Brookline Council on Aging Job Assistance,Brookline,65000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $65,000 shall be made available to the Brookline council on aging to address staffing impacts due to COVID-19 and for a part-time job coordinator to provide job placement assistance to Brookline seniors"
Brookline GreenSpace Alliance Neighborhood Initiatives for Parks,Brookline,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $50,000 shall be expended to the Brookline GreenSpace Alliance neighborhood initiatives for parks grant program"
Brookline Senior Center COVID-19 Recovery,Brookline,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be expended to the Brookline Senior Center to respond to novel coronavirus 2019 related transportation, IT, food insecurity, and social work needs"
Brookline Teen Center Capital Improvements,Brookline,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,70100015,"provided further, that not less than $100,000 shall be expended for the Brookline teen center for programming space expansions and ventilation, heating and cooling improvements"
Brooks Field Improvements,Milton,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided, that not less than $50,000 shall be expended for renovations and improvements to Brooks field in the town of Milton"
Brownfields Cleanup and Electroplating Manufacturing Facility Refurbishment,Holden,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for the town of Holden for brownfields cleanup and refurbishment of the former electroplating manufacturing facility, located at 156 Princeton street"
Buckland Historical Society 1798 English Barn Restoration,Buckland,75000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided, that not less than $75,000 shall be provided to the Buckland Historical Society for the restoration of the 1798 English Barn on the 1775 Wilder Homestead"
Burlington and Woburn Local Primary Care Pilot,Burlington,300000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $300,000 shall be expended to the public school systems in the town of Burlington and the city of Woburn to develop a pilot program, in partnership with local primary care practices, to deliver primary care health services to low-income children enrolled in public schools in the town of Burlington and the city of Woburn; provided further, that such pilot program shall include the delivery of primary care services while a child is in school; provided further, that the public school systems in the town of Burlington and the city of Woburn shall provide an annual report to the department of elementary and secondary education, the house and senate committees on ways and means and the joint committee on health care financing that details the status of the pilot program which shall include, but not be limited to: (i) the amount of money spent; (ii) the number of children served; (iii) the types of services provided; (iv) the barriers for children to receive such services; and (v) any recommendations for sustaining such a program beyond the pilot program time period"
Burlington Fire Headquarters Air Quality Improvements,Burlington,100000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992058,"provided, that not less than $100,000 shall be expended for air quality improvements to the fire department headquarters in the town of Burlington"
